Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019
RS,RS,RS,2639.255100857444,2533.879098599355,2160.180416531316,2160.180416531316,2160.180416531316,2639.255100857444,2533.879098599355,2160.180416531316,2160.180416531316,2160.180416531316
SC,SC,SC,77.48248865534615,23.615561604312532,10.047308050074472,10.047308050074472,10.047308050074472,77.48248865534615,23.615561604312532,10.047308050074472,10.047308050074472,10.047308050074472
PR,PR,PR,3232.7385662779648,3399.5281334920696,3386.255996750451,3386.255996750451,3386.255996750451,3232.7385662779648,3399.5281334920696,3386.255996750451,3386.255996750451,3386.255996750451
SP,SP,SP,703.8002967225802,393.3380076424203,143.6135100212776,502.6472850744716,527.7796493281952,703.8002967225802,393.3380076424203,143.6135100212776,502.6472850744716,527.7796493281952
RJ,RJ,RJ,5.4878403272361505,0,0,0,0,5.4878403272361505,0.0,0.0,0.0,0.0
MG_Triângulo,MG,Triângulo,166.81822887972436,152.86237303035853,193.8255099054266,193.8255099054266,193.8255099054266,166.81822887972436,152.86237303035853,193.8255099054266,193.8255099054266,193.8255099054266
MG_Noroeste,MG,Noroeste,0,0,0,0,0,166.81822887972436,152.86237303035853,193.8255099054266,193.8255099054266,193.8255099054266
MG_Sul,MG,Sul,0,0,0,0,0,166.81822887972436,152.86237303035853,193.8255099054266,193.8255099054266,193.8255099054266
MG_Outros,MG,Outros,0,0,0,0,0,166.81822887972436,152.86237303035853,193.8255099054266,193.8255099054266,193.8255099054266
ES,ES,ES,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
MS_Sul,MS,Sul,394.09263680161376,309.4956793070846,303.6304968818089,318.81202172589934,334.7526228121943,447.83254182001565,351.6996355762325,345.03465554751006,362.2863883248856,380.4007077411299
MS_Norte,MS,Norte,53.73990501840188,42.203956269147895,41.4041586657012,43.47436659898627,45.64808492893559,447.83254182001565,351.6996355762325,345.03465554751006,362.2863883248856,380.4007077411299
MT_Médio Norte,MT,Médio Norte,1700.210149839265,1727.3624733133265,1926.7262827050063,2141.302266747575,2330.021611037867,4857.743285255043,4935.32135232379,5504.932236300018,6010.673029466878,6427.645823552737
MT_Oeste,MT,Oeste,0,0,0,0,0,4857.743285255043,4935.32135232379,5504.932236300018,6010.673029466878,6427.645823552737
MT_Sudeste,MT,Sudeste,3157.533135415778,3207.9588790104635,3578.205953595012,3869.370762719303,4097.62421251487,4857.743285255043,4935.32135232379,5504.932236300018,6010.673029466878,6427.645823552737
MT_Nordeste,MT,Nordeste,0,0,0,0,0,4857.743285255043,4935.32135232379,5504.932236300018,6010.673029466878,6427.645823552737
MT_Nordeste_Sul,MT,Nordeste,0,0,0,0,0,4857.743285255043,4935.32135232379,5504.932236300018,6010.673029466878,6427.645823552737
MT_Norte,MT,Norte,0,0,0,0,0,4857.743285255043,4935.32135232379,5504.932236300018,6010.673029466878,6427.645823552737
GO_Sudoeste,GO,Sudoeste,895.6804970935177,1081.8540488695987,1516.389885786324,1502.8506903775176,1489.311494968711,1279.5435672764538,1545.5057840994268,2166.271265409034,2166.271265409034,2166.271265409034
GO_Leste,GO,Leste,383.86307018293616,463.65173522982803,649.8813796227103,663.4205750315166,676.959770440323,1279.5435672764538,1545.5057840994268,2166.271265409034,2166.271265409034,2166.271265409034
GO_Noroeste,GO,Noroeste,0,0,0,0,0,1279.5435672764538,1545.5057840994268,2166.271265409034,2166.271265409034,2166.271265409034
DF,DF,DF,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
BA_Oeste Norte,BA,Oeste Norte,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343
BA_Oeste Sul,BA,Oeste Sul,0,0,0,0,0,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343
BA_Outros,BA,Outros,0,0,0,0,0,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343
SE,SE,SE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PB,PB,PB,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
AL,AL,AL,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PE,PE,PE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
RN,RN,RN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
CE,CE,CE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PI_Sul,PI,Sul,11.374308203524373,0,12.444539714174025,12.444539714174025,12.444539714174025,11.374308203524373,0.0,12.444539714174025,12.444539714174025,12.444539714174025
PI_Outros,PI,Outros,0,0,0,0,0,11.374308203524373,0.0,12.444539714174025,12.444539714174025,12.444539714174025
MA_Sul,MA,Sul,33.33384773953819,70.63308833572214,28.998799894400655,28.998799894400655,28.998799894400655,33.33384773953819,70.63308833572214,28.998799894400655,28.998799894400655,28.998799894400655
MA_Outros,MA,Outros,0,0,0,0,0,33.33384773953819,70.63308833572214,28.998799894400655,28.998799894400655,28.998799894400655
TO_Centro,TO,Centro,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101
TO_Leste,TO,Leste,0,0,0,0,0,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101
TO_Norte,TO,Norte,0,0,0,0,0,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101
TO_Sul,TO,Sul,0,0,0,0,0,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101
PA_Nordeste,PA,Nordeste,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277
PA_Noroeste,PA,Noroeste,0,0,0,0,0,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277
PA_Sudeste,PA,Sudeste,0,0,0,0,0,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277
PA_Outros,PA,Outros,0,0,0,0,0,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277
AP,AP,AP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
RO,RO,RO,1.8901673674003585,0,0,0,0,1.8901673674003585,0.0,0.0,0.0,0.0
AC,AC,AC,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
AM,AM,AM,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
RR,RR,RR,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
