Year,Month,lag1,lag2,lag3,lag4,lag5,lag6,lag7,lag8,lag9,lag10,lag11,lag12,lag13,lag6_sum_prod,lag9_sum_prod,lag12_sum_prod,Year,Month,Real vs USD,Yuan vs USD,International Corn Prices
2012,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,1,1.785,6.3172,272.84
2012,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2012,2,1.7168,6.2997,279.46
2012,3,30.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.822,30.822,30.822,2012,3,1.7953,6.3125,280.69
2012,4,87.369,30.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.191,118.191,118.191,2012,4,1.8522,6.3043,274.0
2012,5,410.19300000000004,87.369,30.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.384,528.384,528.384,2012,5,1.9809999999999999,6.3242,269.28
2012,6,50.81399999999999,410.19300000000004,87.369,30.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,579.198,579.198,579.198,2012,6,2.0482,6.3633,267.31
2012,7,50.81399999999999,50.81399999999999,410.19300000000004,87.369,30.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.012,630.012,630.012,2012,7,2.0296,6.3717,333.05
2012,8,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,87.369,30.822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,680.826,680.826,680.826,2012,8,2.0279,6.3593,331.99
2012,9,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,87.369,30.822,0.0,0.0,0.0,0.0,0.0,0.0,700.818,731.64,731.64,2012,9,2.0269,6.32,320.85
2012,10,0.0,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,87.369,30.822,0.0,0.0,0.0,0.0,0.0,613.449,731.64,731.64,2012,10,2.0297,6.2627,321.24
2012,11,0.0,0.0,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,87.369,30.822,0.0,0.0,0.0,0.0,203.256,731.64,731.64,2012,11,2.0662,6.2338,321.64
2012,12,0.0,0.0,0.0,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,87.369,30.822,0.0,0.0,0.0,152.442,700.818,731.64,2012,12,2.0775,6.2328,308.65
2013,1,0.0,0.0,0.0,0.0,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,87.369,30.822,0.0,0.0,101.628,613.449,731.64,2013,1,2.0281,6.2215,303.13
2013,2,0.0,0.0,0.0,0.0,0.0,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,87.369,30.822,0.0,50.814,203.256,731.64,2013,2,1.9729,6.2323,302.74
2013,3,0.0,0.0,0.0,0.0,0.0,0.0,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,87.369,30.822,-0.0,152.442,700.818,2013,3,1.9842,6.2154,309.04
2013,4,596.8,0.0,0.0,0.0,0.0,0.0,0.0,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,87.369,596.8,698.428,1210.249,2013,4,2.0011,6.1861,279.91
2013,5,149.2,596.8,0.0,0.0,0.0,0.0,0.0,0.0,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,410.19300000000004,746.0,796.814,949.256,2013,5,2.0365,6.1416,295.54
2013,6,140.85299999999998,149.2,596.8,0.0,0.0,0.0,0.0,0.0,0.0,50.81399999999999,50.81399999999999,50.81399999999999,50.81399999999999,886.853,886.853,1039.295,2013,6,2.1734,6.1342,298.41
2013,7,140.85299999999998,140.85299999999998,149.2,596.8,0.0,0.0,0.0,0.0,0.0,0.0,50.81399999999999,50.81399999999999,50.81399999999999,1027.706,1027.706,1129.334,2013,7,2.2518,6.1343,279.51
2013,8,140.85299999999998,140.85299999999998,140.85299999999998,149.2,596.8,0.0,0.0,0.0,0.0,0.0,0.0,50.81399999999999,50.81399999999999,1168.559,1168.559,1219.373,2013,8,2.3408,6.1213,238.74
2013,9,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,149.2,596.8,0.0,0.0,0.0,0.0,0.0,0.0,50.81399999999999,1309.412,1309.412,1309.412,2013,9,2.2641,6.1198,207.41
2013,10,0.0,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,149.2,596.8,0.0,0.0,0.0,0.0,0.0,0.0,712.612,1309.412,1309.412,2013,10,2.1882,6.1032,201.73
2013,11,0.0,0.0,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,149.2,596.8,0.0,0.0,0.0,0.0,0.0,563.412,1309.412,1309.412,2013,11,2.2959,6.0929,199.13
2013,12,0.0,0.0,0.0,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,149.2,596.8,0.0,0.0,0.0,0.0,422.559,1309.412,1309.412,2013,12,2.3471,6.0738,197.39
2014,1,0.0,0.0,0.0,0.0,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,149.2,596.8,0.0,0.0,0.0,281.706,712.612,1309.412,2014,1,2.3858,6.0509,198.06
2014,2,0.0,0.0,0.0,0.0,0.0,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,149.2,596.8,0.0,0.0,140.853,563.412,1309.412,2014,2,2.3792,6.0816,209.32
2014,3,0.0,0.0,0.0,0.0,0.0,0.0,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,149.2,596.8,0.0,-0.0,422.559,1309.412,2014,3,2.3251,6.1729,222.33
2014,4,360.702,0.0,0.0,0.0,0.0,0.0,0.0,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,149.2,596.8,360.702,642.408,1073.314,2014,4,2.2325,6.2246,222.36
2014,5,498.11199999999997,360.702,0.0,0.0,0.0,0.0,0.0,0.0,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,149.2,858.814,999.667,1422.226,2014,5,2.2195,6.2379999999999995,217.3
2014,6,216.769,498.11199999999997,360.702,0.0,0.0,0.0,0.0,0.0,0.0,140.85299999999998,140.85299999999998,140.85299999999998,140.85299999999998,1075.583,1075.583,1498.142,2014,6,2.2359999999999998,6.2306,202.39
2014,7,216.769,216.769,498.11199999999997,360.702,0.0,0.0,0.0,0.0,0.0,0.0,140.85299999999998,140.85299999999998,140.85299999999998,1292.352,1292.352,1574.058,2014,7,2.2242,6.1984,182.73
2014,8,216.769,216.769,216.769,498.11199999999997,360.702,0.0,0.0,0.0,0.0,0.0,0.0,140.85299999999998,140.85299999999998,1509.121,1509.121,1649.974,2014,8,2.2685,6.1541,176.42
2014,9,216.769,216.769,216.769,216.769,498.11199999999997,360.702,0.0,0.0,0.0,0.0,0.0,0.0,140.85299999999998,1725.89,1725.89,1725.89,2014,9,2.3379,6.1382,163.06
2014,10,0.0,216.769,216.769,216.769,216.769,498.11199999999997,360.702,0.0,0.0,0.0,0.0,0.0,0.0,1365.188,1725.89,1725.89,2014,10,2.4495,6.1251,163.12
2014,11,0.0,0.0,216.769,216.769,216.769,216.769,498.11199999999997,360.702,0.0,0.0,0.0,0.0,0.0,867.076,1725.89,1725.89,2014,11,2.5527,6.1249,178.74
2014,12,0.0,0.0,0.0,216.769,216.769,216.769,216.769,498.11199999999997,360.702,0.0,0.0,0.0,0.0,650.307,1725.89,1725.89,2014,12,2.6419,6.1886,178.73
2015,1,0.0,0.0,0.0,0.0,216.769,216.769,216.769,216.769,498.11199999999997,360.702,0.0,0.0,0.0,433.538,1365.188,1725.89,2015,1,2.6346,6.2181,174.71
2015,2,0.0,0.0,0.0,0.0,0.0,216.769,216.769,216.769,216.769,498.11199999999997,360.702,0.0,0.0,216.769,867.076,1725.89,2015,2,2.8169999999999997,6.2518,173.7
2015,3,0.0,0.0,0.0,0.0,0.0,0.0,216.769,216.769,216.769,216.769,498.11199999999997,360.702,0.0,-0.0,650.307,1725.89,2015,3,3.1414,6.2386,174.23
2015,4,115.387,0.0,0.0,0.0,0.0,0.0,0.0,216.769,216.769,216.769,216.769,498.11199999999997,360.702,115.387,548.925,1480.575,2015,4,3.0421,6.2010000000000005,172.05
2015,5,359.73699999999997,115.387,0.0,0.0,0.0,0.0,0.0,0.0,216.769,216.769,216.769,216.769,498.11199999999997,475.124,691.893,1342.2,2015,5,3.0562,6.2035,166.29
2015,6,593.683,359.73699999999997,115.387,0.0,0.0,0.0,0.0,0.0,0.0,216.769,216.769,216.769,216.769,1068.807,1068.807,1719.114,2015,6,3.1117,6.2052,166.72
2015,7,140.918,593.683,359.73699999999997,115.387,0.0,0.0,0.0,0.0,0.0,0.0,216.769,216.769,216.769,1209.725,1209.725,1643.263,2015,7,3.2288,6.2085,179.6
2015,8,129.738,140.918,593.683,359.73699999999997,115.387,0.0,0.0,0.0,0.0,0.0,0.0,216.769,216.769,1339.463,1339.463,1556.232,2015,8,3.5154,6.3383,162.59
2015,9,129.738,129.738,140.918,593.683,359.73699999999997,115.387,0.0,0.0,0.0,0.0,0.0,0.0,216.769,1469.201,1469.201,1469.201,2015,9,3.9032,6.3676,165.62
2015,10,0.0,129.738,129.738,140.918,593.683,359.73699999999997,115.387,0.0,0.0,0.0,0.0,0.0,0.0,1353.814,1469.201,1469.201,2015,10,3.8752,6.3505,171.39
2015,11,0.0,0.0,129.738,129.738,140.918,593.683,359.73699999999997,115.387,0.0,0.0,0.0,0.0,0.0,994.077,1469.201,1469.201,2015,11,3.7858,6.364,166.16
2015,12,0.0,0.0,0.0,129.738,129.738,140.918,593.683,359.73699999999997,115.387,0.0,0.0,0.0,0.0,400.394,1469.201,1469.201,2015,12,3.8808,6.4491,163.95
2016,1,0.0,0.0,0.0,0.0,129.738,129.738,140.918,593.683,359.73699999999997,115.387,0.0,0.0,0.0,259.476,1353.814,1469.201,2016,1,4.0556,6.5726,161.03
2016,2,0.0,0.0,0.0,0.0,0.0,129.738,129.738,140.918,593.683,359.73699999999997,115.387,0.0,0.0,129.738,994.077,1469.201,2016,2,3.9644,6.5501,159.68
2016,3,0.0,0.0,0.0,0.0,0.0,0.0,129.738,129.738,140.918,593.683,359.73699999999997,115.387,0.0,0.0,400.394,1469.201,2016,3,3.698,6.5027,159.14
2016,4,66.968,0.0,0.0,0.0,0.0,0.0,0.0,129.738,129.738,140.918,593.683,359.73699999999997,115.387,66.968,326.444,1420.782,2016,4,3.5634,6.4754,164.41
2016,5,380.171,66.968,0.0,0.0,0.0,0.0,0.0,0.0,129.738,129.738,140.918,593.683,359.73699999999997,447.139,576.877,1441.216,2016,5,3.5403,6.5259,168.96
2016,6,267.983,380.171,66.968,0.0,0.0,0.0,0.0,0.0,0.0,129.738,129.738,140.918,593.683,715.122,715.122,1115.516,2016,6,3.4234,6.5892,179.87
2016,7,80.439,267.983,380.171,66.968,0.0,0.0,0.0,0.0,0.0,0.0,129.738,129.738,140.918,795.561,795.561,1055.037,2016,7,3.2781,6.6771,161.76
2016,8,38.311,80.439,267.983,380.171,66.968,0.0,0.0,0.0,0.0,0.0,0.0,129.738,129.738,833.872,833.872,963.61,2016,8,3.2086,6.6466,150.15
2016,9,38.311,38.311,80.439,267.983,380.171,66.968,0.0,0.0,0.0,0.0,0.0,0.0,129.738,872.183,872.183,872.183,2016,9,3.2532,6.6702,148.43
2016,10,0.0,38.311,38.311,80.439,267.983,380.171,66.968,0.0,0.0,0.0,0.0,0.0,0.0,805.215,872.183,872.183,2016,10,3.1854,6.7303,152.26
2016,11,0.0,0.0,38.311,38.311,80.439,267.983,380.171,66.968,0.0,0.0,0.0,0.0,0.0,425.044,872.183,872.183,2016,11,3.3369,6.8402,151.8
2016,12,0.0,0.0,0.0,38.311,38.311,80.439,267.983,380.171,66.968,0.0,0.0,0.0,0.0,157.061,872.183,872.183,2016,12,3.3539999999999996,6.9198,152.45
2017,1,0.0,0.0,0.0,0.0,38.311,38.311,80.439,267.983,380.171,66.968,0.0,0.0,0.0,76.622,805.215,872.183,2017,1,3.1901,6.8907,159.99
2017,2,0.0,0.0,0.0,0.0,0.0,38.311,38.311,80.439,267.983,380.171,66.968,0.0,0.0,38.311,425.044,872.183,2017,2,3.1057,6.8694,162.86
2017,3,4.966,0.0,0.0,0.0,0.0,0.0,38.311,38.311,80.439,267.983,380.171,66.968,0.0,4.966,162.027,877.149,2017,3,3.1275,6.894,158.96
2017,4,65.384,4.966,0.0,0.0,0.0,0.0,0.0,38.311,38.311,80.439,267.983,380.171,66.968,70.35,146.972,875.565,2017,4,3.139,6.8876,156.44
2017,5,711.778,65.384,4.966,0.0,0.0,0.0,0.0,0.0,38.311,38.311,80.439,267.983,380.171,782.128,820.439,1207.172,2017,5,3.2043,6.8843,158.59
2017,6,578.539,711.778,65.384,4.966,0.0,0.0,0.0,0.0,0.0,38.311,38.311,80.439,267.983,1360.667,1360.667,1517.728,2017,6,3.2954,6.8066,157.93
2017,7,236.03900000000002,578.539,711.778,65.384,4.966,0.0,0.0,0.0,0.0,0.0,38.311,38.311,80.439,1596.706,1596.706,1673.328,2017,7,3.1994,6.7694,157.51
2017,8,177.61700000000002,236.03900000000002,578.539,711.778,65.384,4.966,0.0,0.0,0.0,0.0,0.0,38.311,38.311,1774.323,1774.323,1812.634,2017,8,3.1478,6.667000000000001,148.5
2017,9,177.61700000000002,177.61700000000002,236.03900000000002,578.539,711.778,65.384,4.966,0.0,0.0,0.0,0.0,0.0,38.311,1946.974,1951.94,1951.94,2017,9,3.1325,6.569,147.29
2017,10,0.0,177.61700000000002,177.61700000000002,236.03900000000002,578.539,711.778,65.384,4.966,0.0,0.0,0.0,0.0,0.0,1881.59,1951.94,1951.94,2017,10,3.1923,6.6254,148.62
2017,11,0.0,0.0,177.61700000000002,177.61700000000002,236.03900000000002,578.539,711.778,65.384,4.966,0.0,0.0,0.0,0.0,1169.812,1951.94,1951.94,2017,11,3.2629,6.62,148.7
2017,12,0.0,0.0,0.0,177.61700000000002,177.61700000000002,236.03900000000002,578.539,711.778,65.384,4.966,0.0,0.0,0.0,591.273,1946.974,1951.94,2017,12,3.295,6.5932,148.98
2018,1,0.0,0.0,0.0,0.0,177.61700000000002,177.61700000000002,236.03900000000002,578.539,711.778,65.384,4.966,0.0,0.0,355.234,1881.59,1951.94,2018,1,3.2115,6.4233,155.84
2018,2,0.0,0.0,0.0,0.0,0.0,177.61700000000002,177.61700000000002,236.03900000000002,578.539,711.778,65.384,4.966,0.0,177.617,1169.812,1951.94,2018,2,3.2507,6.3183,163.36
2018,3,0.0,0.0,0.0,0.0,0.0,0.0,177.61700000000002,177.61700000000002,236.03900000000002,578.539,711.778,65.384,4.966,0.0,591.273,1946.974,2018,3,3.279,6.3174,172.0
2018,4,34.505,0.0,0.0,0.0,0.0,0.0,0.0,177.61700000000002,177.61700000000002,236.03900000000002,578.539,711.778,65.384,34.505,389.739,1916.095,2018,4,3.4089,6.2967,175.6
2018,5,94.889,34.505,0.0,0.0,0.0,0.0,0.0,0.0,177.61700000000002,177.61700000000002,236.03900000000002,578.539,711.778,129.394,307.011,1299.206,2018,5,3.6316,6.3701,179.09
2018,6,933.067,94.889,34.505,0.0,0.0,0.0,0.0,0.0,0.0,177.61700000000002,177.61700000000002,236.03900000000002,578.539,1062.461,1062.461,1653.734,2018,6,3.7710000000000004,6.4651,165.07
2018,7,685.062,933.067,94.889,34.505,0.0,0.0,0.0,0.0,0.0,0.0,177.61700000000002,177.61700000000002,236.03900000000002,1747.523,1747.523,2102.757,2018,7,3.8221,6.7164,156.46
2018,8,189.053,685.062,933.067,94.889,34.505,0.0,0.0,0.0,0.0,0.0,0.0,177.61700000000002,177.61700000000002,1936.576,1936.576,2114.193,2018,8,3.9333,6.8453,162.37
2018,9,189.053,189.053,685.062,933.067,94.889,34.505,0.0,0.0,0.0,0.0,0.0,0.0,177.61700000000002,2125.629,2125.629,2125.629,2018,9,4.1087,6.8551,154.8
2018,10,0.0,189.053,189.053,685.062,933.067,94.889,34.505,0.0,0.0,0.0,0.0,0.0,0.0,2091.124,2125.629,2125.629,2018,10,3.7611,6.9191,143.034849
2018,11,0.0,0.0,189.053,189.053,685.062,933.067,94.889,34.505,0.0,0.0,0.0,0.0,0.0,1996.235,2125.629,2125.629,2018,11,3.8522,6.8619,143.52971259999998
2018,12,0.0,0.0,0.0,189.053,189.053,685.062,933.067,94.889,34.505,0.0,0.0,0.0,0.0,1063.168,2125.629,2125.629,2018,12,3.968,6.752000000000001,143.41778430000002
2019,1,0.0,0.0,0.0,0.0,189.053,189.053,685.062,933.067,94.889,34.505,0.0,0.0,0.0,378.106,2091.124,2125.629,2019,1,4.087,6.655,146.6330179
2019,2,0.0,0.0,0.0,0.0,0.0,189.053,189.053,685.062,933.067,94.889,34.505,0.0,0.0,189.053,1996.235,2125.629,2019,2,4.21,6.638,148.4210512
2019,3,0.195,0.0,0.0,0.0,0.0,0.0,189.053,189.053,685.062,933.067,94.889,34.505,0.0,0.195,1063.363,2125.824,2019,3,4.084,6.739,150.3045269
2019,4,41.06100000000001,0.195,0.0,0.0,0.0,0.0,0.0,189.053,189.053,685.062,933.067,94.889,34.505,41.256,419.362,2132.38,2019,4,4.059,6.777,149.01916809999997
2019,5,130.534,41.06100000000001,0.195,0.0,0.0,0.0,0.0,0.0,189.053,189.053,685.062,933.067,94.889,171.79,360.843,2168.025,2019,5,4.181,6.803,149.3606659
2019,6,1014.1060000000001,130.534,41.06100000000001,0.195,0.0,0.0,0.0,0.0,0.0,189.053,189.053,685.062,933.067,1185.896,1185.896,2249.064,2019,6,4.056,6.995,149.1026622
2019,7,643.7080000000001,1014.1060000000001,130.534,41.06100000000001,0.195,0.0,0.0,0.0,0.0,0.0,189.053,189.053,685.062,1829.604,1829.604,2207.71,2019,7,4.178,7.205,145.5735961
2019,8,257.968,643.7080000000001,1014.1060000000001,130.534,41.06100000000001,0.195,0.0,0.0,0.0,0.0,0.0,189.053,189.053,2087.572,2087.572,2276.625,2019,8,4.303,7.292999999999999,141.0957688
2019,9,257.968,257.968,643.7080000000001,1014.1060000000001,130.534,41.06100000000001,0.195,0.0,0.0,0.0,0.0,0.0,189.053,2345.345,2345.54,2345.54,2019,9,4.4319999999999995,7.362,138.44576909999998
2019,10,0.0,257.968,257.968,643.7080000000001,1014.1060000000001,130.534,41.06100000000001,0.195,0.0,0.0,0.0,0.0,0.0,2304.284,2345.54,2345.54,2019,10,4.512,7.297999999999999,138.61273549999999
2019,11,0.0,0.0,257.968,257.968,643.7080000000001,1014.1060000000001,130.534,41.06100000000001,0.195,0.0,0.0,0.0,0.0,2173.75,2345.54,2345.54,2019,11,4.596,7.349,139.107599
2019,12,0.0,0.0,0.0,257.968,257.968,643.7080000000001,1014.1060000000001,130.534,41.06100000000001,0.195,0.0,0.0,0.0,1159.644,2345.345,2345.54,2019,12,4.458,7.129,138.9956707
