Zonas,Estado,Region,2015,2016,2017,2018,2019,Total-2015,Total-2016,Total-2017,Total-2018,Total-2019,Ratio-2012,Ratio-2013,Ratio-2014,Ratio-2015,Ratio-2016,Ratio-2017,Ratio-2018,Ratio-2019
RS,RS,RS,2639.255100857444,2533.879098599355,2160.180416531316,2160.180416531316,2160.180416531316,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.1815938139864506,0.1815938139864506,0.1815938139864506,0.1815938139864506,0.17385793712979317,0.1444962581482781,0.13631722466818688,0.13234682006620085
SC,SC,SC,77.48248865534615,23.615561604312532,10.047308050074472,10.047308050074472,10.047308050074472,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.005331178720660617,0.005331178720660617,0.005331178720660617,0.005331178720660617,0.0016203428280997508,0.00067207276141779,0.0006340309069979152,0.0006155639873766166
PR,PR,PR,3232.7385662779648,3399.5281334920696,3386.255996750451,3386.255996750451,3386.255996750451,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.22242841386601309,0.22242841386601309,0.22242841386601309,0.22242841386601309,0.23325301859521713,0.22650946972674518,0.21368817898749545,0.20746425144417033
SP,SP,SP,703.8002967225802,393.3380076424203,143.6135100212776,502.6472850744716,527.7796493281952,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.04842494388857192,0.04842494388857192,0.04842494388857192,0.04842494388857192,0.026988238957910405,0.009606426694181642,0.03171933342418467,0.03233524281106204
RJ,RJ,RJ,5.4878403272361505,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.00037759057669252996,0.00037759057669252996,0.00037759057669252996,0.00037759057669252996,0.0,0.0,0.0,0.0
MG_Triângulo,MG,Triângulo,166.81822887972436,152.86237303035853,193.8255099054266,193.8255099054266,193.8255099054266,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.011477919817183315,0.011477919817183315,0.011477919817183315,0.011477919817183315,0.01048839972456207,0.012965148975837936,0.012231272618715034,0.011875021959917508
MG_Noroeste,MG,Noroeste,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG_Sul,MG,Sul,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MG_Outros,MG,Outros,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ES,ES,ES,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MS_Sul,MS,Sul,394.09263680161376,309.4956793070846,303.6304968818089,318.81202172589934,334.7526228121943,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.02711552398157042,0.02711552398157042,0.02711552398157042,0.02711552398157042,0.02123553581726026,0.020310095547284475,0.020118490872310095,0.02050914118051029
MS_Norte,MS,Norte,53.73990501840188,42.203956269147895,41.4041586657012,43.47436659898627,45.64808492893559,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.00369757145203233,0.00369757145203233,0.00369757145203233,0.00369757145203233,0.0028957548841718533,0.0027695584837206097,0.002743430573496831,0.002796701070069585
MT_Médio Norte,MT,Médio Norte,1700.210149839265,1727.3624733133265,1926.7262827050063,2141.302266747575,2330.021611037867,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.11698287353408182,0.11698287353408182,0.11698287353408182,0.11698287353408182,0.11852012846693316,0.12888031767914088,0.13512592742019028,0.14275240556136093
MT_Oeste,MT,Oeste,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT_Sudeste,MT,Sudeste,3157.533135415778,3207.9588790104635,3578.205953595012,3869.370762719303,4097.62421251487,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.21725390799186625,0.21725390799186625,0.21725390799186625,0.21725390799186625,0.22010881001001872,0.23934916140411877,0.24417492147858952,0.25104733391825546
MT_Nordeste,MT,Nordeste,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT_Nordeste_Sul,MT,Nordeste,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MT_Norte,MT,Norte,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GO_Sudoeste,GO,Sudoeste,895.6804970935177,1081.8540488695987,1516.389885786324,1502.8506903775176,1489.311494968711,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.06162725138909457,0.06162725138909457,0.06162725138909457,0.06162725138909457,0.0742296320751658,0.10143257605392801,0.09483672457872314,0.09124498997340631
GO_Leste,GO,Leste,383.86307018293616,463.65173522982803,649.8813796227103,663.4205750315166,676.959770440323,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.026411679166754815,0.026411679166754815,0.026411679166754815,0.026411679166754815,0.03181269946078535,0.04347110402311201,0.04186486039961651,0.041474995442457405
GO_Noroeste,GO,Noroeste,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DF,DF,DF,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA_Oeste Norte,BA,Oeste Norte,969.9477397437166,1029.5350201785263,997.1768759879003,1012.1345291277187,1027.3165470646343,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.06673720527067475,0.06673720527067475,0.06673720527067475,0.06673720527067475,0.07063984817194315,0.06670198756991291,0.06387029941836,0.06294014942683047
BA_Oeste Sul,BA,Oeste Sul,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BA_Outros,BA,Outros,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SE,SE,SE,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PB,PB,PB,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AL,AL,AL,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PE,PE,PE,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RN,RN,RN,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CE,CE,CE,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PI_Sul,PI,Sul,11.374308203524373,0.0,12.444539714174025,12.444539714174025,12.444539714174025,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0007826087017751035,0.0007826087017751035,0.0007826087017751035,0.0007826087017751035,0.0,0.0008324255739542395,0.0007853071452398486,0.000762434121592086
PI_Outros,PI,Outros,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MA_Sul,MA,Sul,33.33384773953819,70.63308833572214,28.998799894400655,28.998799894400655,28.998799894400655,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0022935337110458888,0.0022935337110458888,0.0022935337110458888,0.0022935337110458888,0.004846372914139098,0.0019397537555034268,0.0018299563731164403,0.0017766566729285826
MA_Outros,MA,Outros,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_Centro,TO,Centro,106.56262219447342,138.4241120870357,0.7243151517333101,0.7243151517333101,0.7243151517333101,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.007332035840872224,0.007332035840872224,0.007332035840872224,0.007332035840872224,0.009497742252098082,4.845004072096139e-05,4.570758558581263e-05,4.437629668525498e-05
TO_Leste,TO,Leste,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_Norte,TO,Norte,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TO_Sul,TO,Sul,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA_Nordeste,PA,Nordeste,0.02754502944325169,0.08072352952653958,0.22713969080923277,0.22713969080923277,0.22713969080923277,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,1.8952343603860403e-06,1.8952343603860403e-06,1.8952343603860403e-06,1.8952343603860403e-06,5.5387119018732544e-06,1.519356214310684e-05,1.4333549191610227e-05,1.3916067176320608e-05
PA_Noroeste,PA,Noroeste,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA_Sudeste,PA,Sudeste,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PA_Outros,PA,Outros,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AP,AP,AP,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RO,RO,RO,1.8901673674003585,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0001300528702994442,0.0001300528702994442,0.0001300528702994442,0.0001300528702994442,0.0,0.0,0.0,0.0
AC,AC,AC,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AM,AM,AM,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RR,RR,RR,0.0,0.0,0.0,0.0,0.0,14533.838146349903,14574.422890498778,14949.732568954125,15846.716523091372,16322.118018784115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
